Sentence	Label
यह मेरा पहला रेंगफिश का अनुभव था, और यह स्वादिष्ट था!	1
यह उपयोग करने के लिए सरल है और मुझे यह पसंद है।	1
दोपहर के भोजन के लिए यहां जाने की कोशिश की और यह एक पागलखाना था।	0
सबसे खराब मार्टिनी कभी!	0
कीमत के लिए उत्कृष्ट उत्पाद।	1
मैं इस मामूली कीमत वाले सेलुलर फोन की अत्यधिक अनुशंसा करता हूं।	1
इसके अलावा, एंथनी क्विन को क्रेजी हॉर्स खेलते देखना एक वास्तविक उपचार है।	1
घर या काम के लिए अच्छा डॉकिंग स्टेशन।	1
फिल्म काले कलाकारों के सदस्यों के प्रति नस्लीय ढलानों से अटी पड़ी है और बदले में गोरों को मोरों और स्तन के रूप में दर्शाया गया है।	0
मेरा वास्तव में मतलब है, आप अपनी मछलियों और चिप्स के लिए इतने प्रसिद्ध कैसे हो गए जब यह इतना भयानक है!	0
क्या नहीं खरीदें क्या नहीं खरीदें SUCKS	0
लेकिन अभिनय - यहां तक कि Drago और डेबी Rochon जैसे पेशेवरों के लिए - भयानक था, निर्देशन बदतर (शायद पूर्व में योगदानकर्ता), संवाद चिम्प-जैसा, और कैमरा काम, मुश्किल से सहनीय।	0
लेखन कितना गूंगा है इसका सबसे अच्छा उदाहरण जब यह स्थापित हो जाता है कि आप उल्कापिंड के एक टुकड़े से एक हार को हटाकर ज़ोंबी-छात्रों को वापस मनुष्यों में बदल सकते हैं।	0
दृश्य प्रभाव AWFUL थे।	0
जब मैं घर पर होता हूं, तो मेरे सेल फोन पर 2-3 बार होते हैं, लेकिन आप कुछ भी नहीं सुन सकते।	0
स्वागत उत्कृष्ट है!	1
मुझे लगता है कि यह रॉबर्ट रियांस की सबसे अच्छी फिल्म थी, क्योंकि उन्होंने मेरे पिता की तरह किसी को चित्रित किया था, और वह वास्तविक जीवन में एक सिज़ोफ्रेनिक थे, (मेरे पिता) हालांकि उन्होंने कभी किसी की हत्या नहीं की, लेकिन दूसरे विश्व युद्ध के दौरान इससे अधिक प्रभावित हुए जिससे उनकी स्थिति और खराब हो गई।	1
बैटरी भयानक है।	0
वर्णनों ने कहा &quot;यम यम सॉस&quot; और दूसरे ने कहा &quot;ईल सॉस&quot;, फिर भी एक और ने कहा &quot;मसालेदार मेयो&quot; ... अच्छी तरह से रोल के किसी ने उन पर सॉस नहीं किया था।	0
बेट्टी सफेद और जीन स्मार्ट जोड़ें और आपके पास एक महान कलाकार है - सभी ने अपने हिस्सों को वास्तव में अच्छी तरह से खेला।	1
हर कीमत पर बचें!	0
इस उत्पाद को न खरीदें।	0
मेरे पति ने कहा कि वह बहुत असभ्य था ... उसने खराब भोजन या किसी भी चीज के लिए माफी नहीं मांगी।	0
जैसा कि आप इस कलाकार से उम्मीद करेंगे, वह शीर्ष पायदान पर है।	1
मूल आधार बर्बाद हो गया है क्योंकि यह दस्तावेजी चालक दल पर अकथनीय फोकस द्वारा दरकिनार कर दिया गया है।	0
कहानी बेवकूफी से परे है।	0
रिंगर के लिए वॉल्यूम वास्तविक अच्छा है (आपके पास विकल्प बहुत ज़ोर से हैं)।	1
सबसे बुरा हाल सैल्मन साशिमी का था।	0
यदि आप मृत्यु और क्षय को प्यार करते हैं, और शेक्सपियर के बोल ... यह एक है।	1
फिर भी महान गुरु की स्थिर से एक और अद्भुत फिल्म।	1
मेरे जैसी गलती मत करना।	0
हमने सोचा था कि अच्छी सुशी पाने के लिए आपको और दूर जाना होगा, लेकिन इस जगह ने उस रात को वास्तव में हिट किया।	1
मैं नहीं लौटूंगा।	0
2 घंटे इंतजार किया और कभी भी हमारे आसपास के अन्य लोगों की तरह पिज्जा नहीं मिला, जो बाद में आया था!	0
मेरे लिए सही या कम से कम काम मत करो।	0
इसने मेरी दुनिया को हिलाकर रख दिया और निश्चित रूप से किसी भी सामाजिक या शारीरिक दुकानों के लिए किसी को भी देखना चाहिए।	1
सेल्युलाइड कचरा का एक टुकड़ा सेल्युलाइड पर कब्जा कर लिया।	0
और आम तौर पर लाइनें और प्लॉट औसत एपिसोड से कमजोर होते हैं।	0
अभिनय खराब था, संवाद बेहद उथले और जिद्दी थे।	0
सर्वर से निपटने के लिए सुखद नहीं हैं और वे हमेशा पिज्जा हट कूपन का सम्मान नहीं करते हैं।	0
बहुत अधिक दिलचस्प, अधिक कार्रवाई, अधिक रहस्य और अनावश्यक विवाद का कम।	1
इस बिंदु तक, मेरे दोस्तों और मैंने मूल रूप से यह पता लगाया था कि यह एक मजाक था और इसे सार्वजनिक रूप से और जोर से ज्ञात करने में कोई आपत्ति नहीं थी।	0
मैं उन्हें गंभीरता से नहीं ले सकता था।	0
बारटेंडर भी अच्छा था।	1
फोन में नई बैटरी शानदार काम करती है।	1
बहुत निराशाजनक।	0
मैंने इन्हें परिवार और दोस्तों दोनों के लिए खरीदा है, और सभी अपनी स्पष्टता और उपयोग में आसानी का आनंद लेते हैं	1
संवाद उन चीजों से बना है जो बहुत कम समझ में आती हैं।	0
अन्य सर्विंग स्टाफ के रूप में हमारा सर्वर बहुत अच्छा और चौकस था।	1
नई से बेहतर।	1
आइए सभी समस्याओं से शुरू करते हैं - अभिनय, विशेष रूप से मुख्य प्रोफेसर से, बहुत खराब था।	0
मैं इस डिवाइस को सभी के लिए सुझाता हूँ!	1
लेकिन मैं उनके भविष्य के प्रयासों की प्रतीक्षा करने की सलाह देता हूं, इसे जाने दो।	0
यहाँ अपना समय बर्बाद मत करो।	0
यह सही है .... लाल मखमल केक ..... ओह यह सामान बहुत अच्छा है।	1
यहां का माहौल मजेदार है।	1
मैं अपना पैसा वापस चाहता हूं।	0
अमेज़ॅन के साथ मेरे ग्राहक सेवा का अनुभव कितना बुरा है, यह वर्णन करने में बहुत लंबा समय लगेगा।	0
असली निराशा हमारे वेटर की थी।	0
अगर आपको बुरी फिल्में पसंद हैं, तो भी इस फिल्म को न देखें।	0
फिर कभी यहां नहीं जाएंगे।	0
मेरी पत्नी के पास लॉबस्टर बिस्क सूप था जो गुनगुना था।	0
अभिनय बेकार है, संगीत बेकार है, स्क्रिप्ट बेकार है, पेसिंग बेकार है, विशेष एफएक्स चूसना, निर्देशन बेकार है ... मूल रूप से, यह फिल्म बेकार है।	0
और कोई भी स्वर स्वीकार्य नहीं है।	0
केवल 2 दिनों के लिए उत्पाद प्राप्त करने और उपयोग करने के बाद यह टूट गया।	0
मैं इस मामले का उपयोग नहीं कर सकता क्योंकि गंध घृणित है।	0
बाबी बोप बहुत ही प्यारे हैं।	1
साथ ही कहानी और अभिनय कमजोर था।	0
एक शानदार तरीका एक शानदार खत्म।	1
खराब क्वालिटी।	0
फिर भी प्लांट्रोनिनक उसी दोषपूर्ण चार्जर डिजाइन का उपयोग करना जारी रखता है।	0
मैं ऐनी राइस की शैली, संवेदनशीलता और उपचार के कारण इस श्रृंखला का बहुत बड़ा प्रशंसक हूं।	1
यह फिल्म क्यों बनाई गई?	0
माइक काम नहीं करता है।	0
10/10	1
मैं पूरी तरह से संगीत, नृत्य ... सब पर मोहित हो गया।	1
उसके लिए, यह जाँच के लायक है।	1
बहुत निराश।	0
इस खराब काम के लिए बस कोई बहाना नहीं है।	0
मैंने पाया कि उत्पाद को स्थापित करना और उपयोग करना आसान है।	1
यहां सेवा वांछित होने के लिए बहुत कुछ छोड़ देती है।	0
इस उत्पाद को न खरीदें - यह विफल रहता है!।	0
यह पहले के बाद उसी तिथि और समय के लिए दोहरी बुकिंग की संभावना को अनुमति देता है।	0
वे उपभोक्ता के बारे में एक बिट की परवाह नहीं करते हैं।	0
इसमें बहुत अच्छा प्लॉट है, यह आपका पूरा ध्यान रखता है, अभिनय शानदार है, टॉम विल्किंसन शानदार था और एमिली वॉटसन भी बहुत अच्छी थी।	1
कितना बेवकूफ है?	0
वे फोन अभी ठीक काम कर रहे हैं।	1
स्क्रिप्ट है ... क्या कोई स्क्रिप्ट थी?	0
मुझे इस तथ्य से प्यार है कि उनके मेनू पर सब कुछ इसके लायक है।	1
समीक्षकों के ढेर के बावजूद, मुझे यह फिल्म पसंद आई।	1
स्क्रिप्ट ऐसा लगता है जैसे केवल एक मोटा मसौदा लिखा गया था और एक तैयार स्क्रिप्ट पूरी होने से पहले शूटिंग शुरू हुई थी।	0
हम फिर कभी नहीं जाएंगे।	0
फिल्म का एकमात्र उज्ज्वल स्थान जोनाह हिल था (जो अंतरिम में खोए हुए वजन की मात्रा के कारण हाल ही में सुपरटाड के प्रशंसकों के लिए लगभग अपरिचित लगेगा)।	1
अबतक का सबसे खराब।	0
जब आप कार में होते हैं तो चालू और बंद करना आसान होता है और वॉल्यूम नियंत्रण काफी पहुंच योग्य होते हैं।	1
अच्छी गुणवत्ता।	1
मैं आपको बता नहीं सकता कि मैं कितना निराश था।	0
ठीक है, मैं अपने आप को एक निष्पक्ष आलोचक मानना चाहता हूं, इसलिए मैं क्रेडिट देता हूं जहां क्रेडिट की देयता है - जीव प्रभाव वास्तव में बहुत अच्छा था।	1
मालिक नोबू में काम करता था, इसलिए यह जगह वास्तव में आधी कीमत के लिए समान है।	1
कोई भी दादी भुना हुआ चिकन इस से बेहतर बना सकती है।	0
यह फिल्म एक बुरे कथानक का एक ठोस उदाहरण है और एक बहुत ही बुरा विचार है।	0
मैंने अपने सेल फोन के लिए कई अलग-अलग इयरपीस आज़माए हैं और यह जबरा पहला ऐसा है जिसे मैंने पाया है कि यह मेरे कान को आराम से फिट करता है।	1
हमारे द्वारा अनुरोध किए गए गाने बजाने वाले वायलिन वादकों की एक प्यारी जोड़ी के साथ माहौल बहुत अच्छा था।	1
मेरे पास एक Verizon LG फोन है और वे एक साथ अच्छी तरह से काम करते हैं, अच्छा स्वागत और सीमा जो दृष्टि की 20 फीट की रेखा से अधिक है।	1
खाना चूसा, जिसकी हमें उम्मीद थी लेकिन यह जितना हमने सोचा था उससे ज्यादा चूसा होगा।	0
अंत के क्रेडिट के दौरान एक शानदार साउंडट्रैक और एक आकर्षक गीत के साथ एक त्वरित क्लासिक।	1
फोन अब चार्ज की तरह है जब यह नया था।	1
महान ध्वनि और सेवा।	1
जो होलस्टर आया वह विज्ञापन में फोटो से मेल नहीं खाता था।	0
कहानियाँ मनुष्य के स्वभाव और कला के शक्तिशाली अन्वेषण थे।	1
यह फोन पतला और हल्का है और डिस्प्ले सुंदर है।	1
फोन कभी भी काम करें।	0
अच्छी कीमतें।	1
निकोला की राग विह से एक सुंदर निर्देशित फिल्म में सभी ने एक उदात्त कास्ट किया।	1
इसका सबसे अच्छा हेडसेट मैंने इस्तेमाल किया है।	1
इस हेडसेट के माध्यम से स्वागत उत्कृष्ट है।	1
यदि आपको यह नहीं मिलता है, तो बहुत बुरा है, क्योंकि फिर से यूनिट केवल एक ईयरपैड के साथ आती है। मैं किसी को भी इसकी सिफारिश नहीं करूंगा।	0
चूसा, ज्यादातर सामान मेरे फोन के साथ काम नहीं करता है।	0
निराशा।	0
तीसरा, मेरे दोस्त के बर्गर पर पनीर ठंडा था।	0
बाजार में सबसे अच्छा फोन :)।	1
पोस्टिनो में मेरे लिए वास्तव में कुछ भी नहीं है, आशा है कि आपका अनुभव बेहतर होगा	0
इस फिल्म को लेखन की वजह से नुकसान हुआ, इसे और अधिक सस्पेंस की आवश्यकता थी।	0
हालाँकि, मैंने हाल ही में डीवीडी पर पूरी बात फिर से देखी, और मैं पूरी तरह से चकित रह गया कि कहानी कितनी बेतुकी है - इसमें कैसे छेद, विसंगतियाँ और - खुलकर - पूरी तरह से बकवास - और कितना भयानक नृत्य था।	0
उनका प्रदर्शन बस प्रतिभा है।	1
आप सही मायने में इस यात्रा को एक बच्चे की आंखों और आत्मा के माध्यम से लेते हैं।	1
दो बेटियों की पेंटिंग और तस्वीर को देखने वाले दृश्य सुंदर हैं।	1
खाना सचमुच उबाऊ था।	0
कभी नहीं मिला !!!!!	0
लॉजिटेक ईयरबड हेडसेट के अधिकांश भाग विफल रहे।	0
कथानक बकवास है जो थोड़ी सी भी रुचि नहीं रखता है या इसके लिए कोई विशिष्टता नहीं है।	0
अगर आप अच्छे भोजन की तलाश में हैं तो वहां मत जाओ ...	0
मुझे यह कदम सुंदर, सुखद और उत्थानकारी लगा।	1
यहाँ शानदार सेवा।	1
पैसे की बर्बादी।	0
इसलिए उन्होंने प्रदर्शन किया।	1
मेरे पास स्ट्रॉबेरी की चाय थी, जो अच्छी थी।	1
चार्ज नहीं रखता है।	0
मैं गंभीरता से एयरलाइन खाना खाऊंगा।	0
एकमात्र वास्तविक प्रभाव कार्य सभी जानवरों की उपस्थिति है, और उन दृश्यों में एकीकरण कुछ सबसे खराब और सबसे स्पष्ट नीले / हरे रंग की स्क्रीन का काम है जो मैंने कभी देखा है।	0
20 मिनट के इंतजार के बाद, मुझे एक टेबल मिला।	0
यह फिल्म उत्कृष्ट है! एंजेल सुंदर है और स्कैम्प आराध्य है! हिचकिचाहट होने पर उसकी छोटी-छोटी येल्प्स, और सबसे मजेदार भाग तब होते हैं: स्कैम्प को पर्दे के नीचे पकड़ा जाता है और जब एंजेल और स्कैम्प गाते हैं &#39;Ive Never Had This Feeling before&#39;.I पूरी तरह से इस फिल्म की सिफारिश करते हैं, इसके 20 जून को विशेष संस्करण में आ रहे हैं। कवर में कचरे के डिब्बे पर स्क्रैम्प है और एंजेल ढक्कन के नीचे है।	1
मेरे पास यह फोन है और यह मेरे पक्ष में एक कांटा है, मैं वास्तव में इसे घृणा करता हूं।	0
मुझे विश्वास नहीं हो रहा है कि अभिनेता इस &quot;फिल्म&quot; को करने के लिए सहमत हुए हैं।	0
13 रुपये की बर्बादी।	0
कीमत भी अच्छी है।	1
बहुत अच्छी सेवा!!!!!!!!।	1
मैं वास्तव में कहानी लाइन से प्यार करता था और पोलर भालू थोड़े प्यारा था। लेकिन अगर किसी के पास फोर्ट स्टील के बारे में कोई सवाल है, तो उससे पूछें :)	1
BT50 बैटरी कबाड़ !.	0
मैं केवल ऑडियो के लिए कचरा सुनता हूं।	0
हेडसेट का निर्माण खराब है।	0
&quot; मुझे यह पसंद है।	1
मैंने सिर्फ इस फिल्म को देखा और मैं इसकी सलाह देता हूं।	1
मुझे यह केबल बहुत पसंद है - यह मुझे किसी भी मिनी-यूएसबी डिवाइस को अपने पीसी से कनेक्ट करने की अनुमति देता है।	1
मुझे लैंड-लाइन और सेल दोनों के लिए एक हेडसेट का उपयोग करने में सक्षम होना पसंद है।	1
सबसे पहले, यह अच्छी तरह से नहीं पहनता है।	0
दक्षिण-पश्चिम में सबसे अच्छा टेटर।	1
मेरे पास सबसे बड़ी शिकायत है, बैटरी सुपरफास्ट हो जाती है।	0
सब कुछ ताजा और स्वादिष्ट था!	1
हमेशा डॉस ग्रिंगोस में एक महान समय!	1
महान इयरपीस।	1
इस स्थान के पास बहुत सारे वादे हैं लेकिन देने में विफल है।	0
यह अच्छा और चार के बजाय एक पीला रंग था और इसमें कोई स्वाद नहीं है।	0
वैसे भी, इस FS रेस्तरां में एक शानदार नाश्ता / दोपहर का भोजन है।	1
मैंने अल्बोंडिगस सूप का आदेश दिया - जो सिर्फ गर्म था - और जमे हुए मीटबॉल के साथ टमाटर सूप की तरह चखा।	0
विडंबना यह है कि मुझे ज्यादातर उनकी फिल्में देखने के लिए समय की कुल बर्बादी लगती हैं।	0
मुझे कम से कम दिलचस्पी नहीं थी।	0
मेरा इतना अपमान किया गया।	0
3 महीने बाद, स्क्रीन अचानक काली हो गई।	0
मेरे जीवन में अब तक की सबसे अच्छी मछली!	1
मैं अतीत में कई बार यहां आया हूं, और अनुभव हमेशा शानदार रहा है।	1
मुझे वापस जाना अच्छा लगेगा।	1
यह वास्तव में शानदार थाई रेस्तरां है जो निश्चित रूप से देखने लायक है।	1
मुझे यहां खाने में बहुत मजा आया।	1
भोजन डेनी के साथ सममूल्य पर है, जो कहना है, बिल्कुल अच्छा नहीं है।	0
उपयोग के दो महीने के भीतर तीनों टूट गए।	0
वास्तव में, यह बदबू एक प्रत्यक्ष-टू-वीडियो रिलीज की तरह बदबू आ रही है।	0
निराशाजनक अनुभव।	0
&quot;नर्स बेट्टी&quot; के बारे में सबसे अच्छी बात यह अप्रत्याशित है।	1
लेकिन, किसी भी मामले में, सबसे अच्छी बात यह है कि आप इन तस्वीरों को आईआर का उपयोग करके अपने लैपटॉप पर डाउनलोड कर सकते हैं, या यहां तक कि अपने लैपटॉप से फोन पर तस्वीरें भी भेज सकते हैं।	1
कोई वास्तविक सुधार नहीं।	0
- खाना समृद्ध है इसलिए उसी के अनुसार ऑर्डर करें।	1
शानदार इयरफ़ोन।	1
जब मैंने सैंडविच खोला, तो मैं प्रभावित हुआ, लेकिन अच्छे तरीके से नहीं।	0
यह यूरोप या एशिया में काम नहीं करता है।	0
सेवा हालांकि भयानक थी।	0
यह देखने में शर्मनाक है कि यह कैसे दिखता है और ज्यादातर यह शर्मनाक है कि बच्चे की तरह कंपनी कैसी है।	0
मुझे महसूस नहीं हुआ कि पिछले दो दृश्यों तक कितना शानदार शॉर्ट है।	1
भूखे आओ, खुश रहो और भरवां!	1
यह खेल चट्टानों।	1
बहुत बुरा अनुभव!	0
[...] एक कमजोर तस्वीर के कारण नाली नीचे!	0
मुझे पता है कि यह अन्य रेस्तरां की तरह बिल्कुल भी नहीं है, यहाँ कुछ बहुत बंद है!	0
IGo चार्जर और टिप्स वाकई शानदार हैं।	1
निराशाजनक परिणाम।	0
मैं विशेष रूप से ड्वाइट शुल्त्स की अभिनय क्षमता से प्रसन्न था।	1
सजावट अच्छी है, और पियानो संगीत साउंडट्रैक सुखद है।	1
मैं वास्तव में मोटोरोला के इस उत्पाद को पसंद करता हूं क्योंकि यह कान के टुकड़े और माइक पर स्पष्ट है।	1
इस फिल्म में कैमरा वास्तव में उसे पसंद करता है।	1
मेरा मानना है कि पिच ब्लैक ने अच्छा किया था।	1
अविश्वसनीय - मैं दे रहा हूँ।	0
इस फिल्म में आयरन क्या कर रही है?	0
उस पर बहुत व्यंग्य किया।	1
यह फिल्म बनाने का एक बेहतरीन नमूना है, जिसमें कई थीमों के साथ इस मौसा पर उबाल और कभी-कभी उबलते हुए और कवि के बोहेमियन, आत्म-भोगपूर्ण वर्षों के सभी अध्ययन शामिल हैं जो लंदन के हवाई बमबारी और एक वेल्श तटीय पीछे हटने की बाहरी शांति का अनुभव करते हैं। - दोस्ती, वासना और प्यार, कला और अनुभव बनाम व्यावहारिक चिंताओं, ईर्ष्या, प्रतिद्वंद्विता, कायरता और अहंकार बनाम वीरता और आत्म-बलिदान और अधिक के बीच सीमा।	1
फिर, जैसे कि मैंने अपने जीवन का पर्याप्त समय बर्बाद नहीं किया, उन्होंने चेक लाने के लिए समय निकालकर घाव में नमक डाला।	0
दूसरी तरफ बस वाला लड़का इतना असभ्य था।	0
अभिनय लकड़ी की कठपुतलियों को घूमते हुए और एक किताब से पढ़ते हुए देखने जैसा है, यह कितना बुरा है।	0
यह बेहद &quot;crumby&quot; और बहुत बेस्वाद था।	0
यह अंतिम झटका की तरह था!	0
संभवतः सभी समय के सर्वश्रेष्ठ त्रयी के लिए एक अद्भुत समापन!	1
शायद ही कोई मीट था।	0
लंबे समय तक नहीं रहता है।	0
मैंने अपना पैसा वापस ले लिया और वहां से निकल गया।	0
मैं उनके द्वारा निभाए गए किरदार से काफी प्रभावित था।	1
फीनिक्स में कुछ स्थानों में से एक है कि मैं निश्चित रूप से फिर से वापस जाना होगा।	1
जब मैंने पहली बार 80 के दशक में यह फिल्म देखी थी, तो मुझे बहुत अच्छा लगा।	1
महान जगह है जहां एक युगल पेय है और किसी भी और सभी खेल की घटनाओं को देखते हैं क्योंकि दीवारें टीवी के साथ कवर की गई हैं।	1
मैंने एक मोटरोला डेटा केबल का आदेश दिया था, एक बहुत अच्छी तरह से तैयार और काम करने वाला उत्पाद मिला।	1
अच्छा मामला, आपके हाथों में अच्छा लगता है।	1
एक आकर्षण की तरह काम करता है .. विज्ञापन के रूप में काम करता है।	1
सेवा उत्कृष्ट थी और कीमतें काफी उचित हैं, यह देखते हुए कि यह वेगास है और आरिया द्वारा क्रिस्टल शॉपिंग मॉल के अंदर स्थित है।	1
अविश्वसनीय था।	1
पर्याप्त मात्रा में नहीं।	0
1 घंटा 54 मिनट का सरासर टेडियम, मेलोड्रामा और भयानक अभिनय, एक स्क्रिप्ट की गड़बड़ी, और अच्छे भगवान की एक डूबती हुई भावना, वे क्या कर रहे थे?	0
मैंने पेट में दर्द के साथ छोड़ दिया और बाकी दिन बीमार महसूस किया।	0
खराब खरीद।	0
मुझे लगा कि एरोल फ्लिन क्रस्ट के रूप में शानदार था और तब से मेरा पसंदीदा अभिनेता बन गया है!	1
मैंने कुछ डॉलर उत्पाद के लिए कंपनी से संपर्क करने की जहमत नहीं उठाई, लेकिन मैंने सबक सीखा कि मुझे इस फॉर्म को वैसे भी ऑनलाइन नहीं खरीदना चाहिए था।	0
हालांकि, बहुत अच्छा!	1
असली हत्यारा मात्रा है, और निश्चित रूप से यह टूट रहा है।	0
मैं थोड़ा निराश हूं।	0
कमाल का उपकरण।	1
वेरिज़ोन टेक सपोर्ट ने कुछ प्रक्रियाओं के माध्यम से मेरा काम किया, जिनमें से किसी ने भी काम नहीं किया और मैंने अपने सभी डेटा को मिटाते हुए एक कठिन पुन: सेट करने के लिए समाप्त कर दिया।	0
मेरी बेला को ह्यूवे रोंचर मिल गया और वे बहुत आकर्षक नहीं लग रही थीं।	0
यह जगह आपके समय के लायक नहीं है, अकेले वेगास जाने दो।	0
भयानक उत्पाद, और पैसे की बर्बादी!	0
बहुत अच्छा काम करता है।	1
कहानी की लाइन पूरी तरह से अनुमानित है।	0
जाओ इसे देखो!	1
यह मेरे मोटोरोला 325 सेलफोन पर ठीक काम करता है, और पहना बैटरी की तुलना में बहुत बेहतर है।	1
भोजन वास्तव में अच्छा था और मुझे पूर्ण पेटीएम मिला।	1
कुरकुरी आवाज साफ।	1
मुझे लगता है कि यह एक पुरानी जॉन वेन फिल्म को देखना चाहिए।	1
एक डबल चीज़बर्गर का आदेश दिया और एक ही पैटी मिली जो अलग हो रही थी (चित्र अपलोड) हाँ, अभी भी बेकार है।	0
मैंने दो साल में कई फोन इस्तेमाल किए हैं, लेकिन यह सबसे अच्छा है।	1
इसकी बेहद धीमी गति और इसके साथ कुछ भी करने के लिए हमेशा के लिए ले जाता है।	0
अनुचित विवरण .... मुझे इसे वापस करना पड़ा।	0
यह वास्तव में बी-सूची हॉरर / सस्पेंस फिल्मों के रूप में दूर तक बहुत सभ्य निकला।	1
बेकार फोन, बस बहरा।	0
मैं प्लांट्रोनिक्स के इस हेडसेट से बहुत प्रभावित हूं।	1
समय की कितनी बड़ी बर्बादी।	0
भोजन मुश्किल से गुनगुना था, इसलिए इसे सर्वर से हमारे लिए बाहर लाने के इंतजार में बैठे रहे होंगे।	0
महान ग्राहक सेवा के बारे में बात करें बेशक हम वापस आ जाएंगे।	1
यदि आप इसे कार में उपयोग करने की योजना बनाते हैं तो इसके बारे में भूल जाएं।	0
आपको पहले स्थान पर रखने के लिए यहां कोई साजिश नहीं है।	0
मैं इस चोरी पर विचार करता हूं।	0
कहानी लाइन सिर्फ भयानक है!	0
ब्लूटूथ काम नहीं करता है, फोन लॉक हो जाता है, स्क्रीन बस फ्लैश होती है और अब यह सिर्फ मेरी जेब लॉक होने के दौरान रैंडमली कॉल करता है।	0
मुझे उनकी फ्राई और उनकी फलियाँ बहुत पसंद हैं।	1
मैं उन चीजों से नफरत करता हूं जितना सस्ते गुणवत्ता वाले काले जैतून।	0
अच्छी सिनेमेटोग्राफी भी उन्हें और मोनिका बेलुची को बहुत खूबसूरत लगती है।	1
झटकेदार कैमरे की हरकत भी परेशान करने वाली थी।	0
मुझे अपना कथित रूप से नया मोटर 375 प्राप्त हुआ और जाहिर है कि फोन और चार्जर के बीच कोई मेल नहीं था।	0
मुझे बस इतना कहना है कि भोजन अद्भुत था !!!	1
अमेज़ॅन पर कीमत के लिए, यह एक उत्कृष्ट उत्पाद है, जिसकी मैं अत्यधिक सिफारिश करूंगा।	1
भविष्य की गोरमिस्टर लुसियो फुलसी की यह शुरुआती फिल्म, जिआलो उप-शैली के लिए एक बहुत अच्छा जोड़ है।	1
